,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
101,ISR Information Products AG,"ISR Information Products AG is located in Hamburg, Hamburg, Germany and is part of the Architectural, Engineering, and Related Services Industry.  There are        5 companies in the ISR Information Products AG corporate family.",,,1.0,2.23
102,ISR Information Products AG,"ISR Information Products AG is located in Münster, Nordrhein-Westfalen, Germany and is part of the Computer and Peripheral Equipment Manufacturing Industry.  There are        5 companies in the ISR Information Products AG corporate family.",,,,
103,Cordian GmbH,"Cordian GmbH is located in Berlin, Berlin, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. Cordian GmbH has        4 employees at this location and generates $483,873 in sales (USD). (Sales figure is estimated). There are        2 companies in the Cordian GmbH corporate family.",       4,"$483,873",3.0,2.23
104,SMAVOO GmbH,"SMAVOO GmbH is located in Hemmingen, Niedersachsen, Germany and is part of the Computer Systems Design and Related Services Industry. SMAVOO GmbH has        5 total employees across all of its locations and generates $632,505 in sales (USD). (Employees and Sales figures are modelled). There are        2 companies in the SMAVOO GmbH corporate family.",,"$632,505",3.0,2.35
105,Technische Hochschule Wildau,"Technische Hochschule Wildau is located in Wildau, Brandenburg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Technische Hochschule Wildau has      201 employees at this location and generates $19.17 million in sales (USD). (Sales figure is modelled). There are        2 companies in the Technische Hochschule Wildau corporate family.",     201,$19.17 million,1.0,2.23
106,Technische Hochschule Wildau,"Technische Hochschule Wildau is located in Wildau, Brandenburg, Germany and is part of the Colleges, Universities, and Professional Schools Industry.  There are        2 companies in the Technische Hochschule Wildau corporate family.",,,1.0,2.23
107,KED Photonics GmbH,"KED Photonics GmbH is located in Rostock, Mecklenburg-Vorpommern, Germany and is part of the Architectural, Engineering, and Related Services Industry. KED Photonics GmbH has        2 total employees across all of its locations and generates $135,721 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",       2,"$135,721",3.0,2.23
108,Universitätsklinikum Erlangen,"Universitätsklinikum Erlangen is located in Erlangen, Bayern, Germany and is part of the General Medical and Surgical Hospitals Industry. Universitätsklinikum Erlangen has    7,400 employees at this location and generates $549.78 million in sales (USD). (Sales figure is modelled). There are       15 companies in the Universitätsklinikum Erlangen corporate family.","   7,400",$549.78 million,1.0,1.72
109,Hochschule Hannover,"Hochschule Hannover is located in Hannover, Niedersachsen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Hochschule Hannover has      900 total employees across all of its locations and generates $115.44 million in sales (USD). (Employees and Sales figures are estimated). There are       13 companies in the Hochschule Hannover corporate family.",,$115.44 million,1.0,2.23
110,Universität Mannheim,"Universität Mannheim is located in Mannheim, Baden-Württemberg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Mannheim has    2,363 total employees across all of its locations and generates $225.33 million in sales (USD). (Employees and Sales figures are modelled). There are       14 companies in the Universität Mannheim corporate family.",,$225.33 million,1.0,2.23
111,Contiamo GmbH,"Contiamo GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Contiamo GmbH has       20 employees at this location and generates $170,461 in sales (USD). (Sales figure is estimated). ",      20,"$170,461",4.0,2.35
112,Universität Göttingen,"Universität Göttingen is located in Göttingen, Niedersachsen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Göttingen has      100 employees at this location and generates $3.23 million in sales (USD). (Sales figure is modelled). ",     100,$3.23 million,3.0,2.23
113,Unetiq GmbH,"Unetiq GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Unetiq GmbH has        3 total employees across all of its locations and generates $205,818 in sales (USD). (Employees and Sales figures are modelled). There are        2 companies in the Unetiq GmbH corporate family.",,"$205,818",2.0,2.35
114,Unetiq GmbH,"Unetiq GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry.  There are        2 companies in the Unetiq GmbH corporate family.",,,,
115,Comtravo GmbH,"Comtravo GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Comtravo GmbH has      130 employees at this location and generates $920,540 in sales (USD). (Sales figure is estimated). There are        7 companies in the Comtravo GmbH corporate family.",     130,"$920,540",2.0,2.35
116,clarifydata GmbH,"clarifydata GmbH is located in Kiel, Schleswig-Holstein, Germany and is part of the Computer Systems Design and Related Services Industry. clarifydata GmbH has        3 total employees across all of its locations and generates $118,018 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the clarifydata GmbH corporate family.",       3,"$118,018",3.0,2.35
117,DeepL GmbH,"DeepL GmbH is located in Köln, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. DeepL GmbH has      100 employees at this location and generates $4.04 million in sales (USD). (Sales figure is estimated). There are        3 companies in the DeepL GmbH corporate family.",     100,$4.04 million,2.0,2.35
118,VIVAI Software AG,"VIVAI Software AG is located in Dortmund, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. VIVAI Software AG has       28 employees at this location and generates $1.70 million in sales (USD). (Sales figure is estimated). There are        2 companies in the VIVAI Software AG corporate family.",      28,$1.70 million,1.0,2.35
119,VIVAI Software AG,"VIVAI Software AG is located in Dortmund, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry.  There are        2 companies in the VIVAI Software AG corporate family.",,,1.0,2.35
120,Microsoft Deutschland GmbH,"Microsoft Deutschland GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Microsoft Deutschland GmbH has    2,548 employees at this location and generates $4.81 billion in sales (USD).  There are      955 companies in the Microsoft Deutschland GmbH corporate family.","   2,548",$4.81 billion,3.0,2.35
121,Brighter AI Technologies GmbH,"Brighter AI Technologies GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Brighter AI Technologies GmbH has       20 employees at this location and generates $236,036 in sales (USD). (Sales figure is estimated). ",      20,"$236,036",2.0,2.35
